date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:53	1083104/1083104	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2029%20Apr%202025%2017:36:27%20GMT	https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/Phosphor-Fill.svg	D:/Copy-web/unpkg.com/@phosphor-icons/web@2.0.3/src/fill/Phosphor-Fill.svg	(from https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css)
11:19:53	200924/200924	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2265ccea2a-310dc%22	https://satumomen.com/fonts/brigesta/brigesta-regular-400.eot	D:/Copy-web/satumomen.com/fonts/brigesta/brigesta-regular-400.eot	(from https://satumomen.com/fonts/brigesta/fonts.css)
11:19:53	200924/200924	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2265ccea2a-310dc%22	https://satumomen.com/fonts/brigesta/brigesta-regular-400.eot?	D:/Copy-web/satumomen.com/fonts/brigesta/brigesta-regular-400d41d.eot	(from https://satumomen.com/fonts/brigesta/fonts.css)
11:19:53	60808/60808	---M--	200	added ('OK')	application/octet-stream	etag:%2265ccea2a-ed88%22	https://satumomen.com/fonts/brigesta/brigesta-regular-400.woff2	D:/Copy-web/satumomen.com/fonts/brigesta/brigesta-regular-400.woff2	(from https://satumomen.com/fonts/brigesta/fonts.css)
11:19:54	93856/93856	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2265ccea2a-16ea0%22	https://satumomen.com/fonts/brigesta/brigesta-regular-400.woff	D:/Copy-web/satumomen.com/fonts/brigesta/brigesta-regular-400.woff	(from https://satumomen.com/fonts/brigesta/fonts.css)
11:19:54	200752/200752	---M--	200	added ('OK')	application/octet-stream	etag:%2265ccea2a-31030%22	https://satumomen.com/fonts/brigesta/brigesta-regular-400.ttf	D:/Copy-web/satumomen.com/fonts/brigesta/brigesta-regular-400.ttf	(from https://satumomen.com/fonts/brigesta/fonts.css)
11:19:54	207735/207735	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265ccea2a-32b77%22	https://satumomen.com/fonts/brigesta/brigesta-regular-400.svg	D:/Copy-web/satumomen.com/fonts/brigesta/brigesta-regular-400.svg	(from https://satumomen.com/fonts/brigesta/fonts.css)
11:19:54	0/0	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22676966e4-0%22	https://satumomen.com/fonts/e111viva/e111viva.eot	D:/Copy-web/satumomen.com/fonts/e111viva/e111viva.eot	(from https://satumomen.com/fonts/e111viva/style.css)
11:19:55	0/0	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22676966e4-0%22	https://satumomen.com/fonts/e111viva/e111viva.eot?	D:/Copy-web/satumomen.com/fonts/e111viva/e111vivad41d.eot	(from https://satumomen.com/fonts/e111viva/style.css)
11:19:55	35244/35244	---M--	200	added ('OK')	application/octet-stream	etag:%22676966df-89ac%22	https://satumomen.com/fonts/e111viva/e111viva.woff2	D:/Copy-web/satumomen.com/fonts/e111viva/e111viva.woff2	(from https://satumomen.com/fonts/e111viva/style.css)
11:19:55	3680/3680	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jun%202025%2004:19:55%20GMT	https://satumomen.com/fonts/e111viva/e111viva.woff	D:/Copy-web/satumomen.com/fonts/e111viva/e111viva.woff	(from https://satumomen.com/fonts/e111viva/style.css)
11:19:55	62308/62308	---M--	200	added ('OK')	application/octet-stream	etag:%22676966e4-f364%22	https://satumomen.com/fonts/e111viva/e111viva.ttf	D:/Copy-web/satumomen.com/fonts/e111viva/e111viva.ttf	(from https://satumomen.com/fonts/e111viva/style.css)
11:19:56	3676/3676	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jun%202025%2004:19:56%20GMT	https://satumomen.com/fonts/e111viva/e111viva.svg	D:/Copy-web/satumomen.com/fonts/e111viva/e111viva.svg	(from https://satumomen.com/fonts/e111viva/style.css)
11:19:56	27790/27790	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264739ad6-6c8e%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.eot	D:/Copy-web/satumomen.com/fonts/brittany_signature/BrittanySignature.eot	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
11:19:56	27790/27790	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264739ad6-6c8e%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.eot?	D:/Copy-web/satumomen.com/fonts/brittany_signature/BrittanySignatured41d.eot	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
11:19:56	16436/16436	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-4034%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.woff2	D:/Copy-web/satumomen.com/fonts/brittany_signature/BrittanySignature.woff2	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
11:19:57	19416/19416	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2264739ad6-4bd8%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.woff	D:/Copy-web/satumomen.com/fonts/brittany_signature/BrittanySignature.woff	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
11:19:57	27536/27536	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-6b90%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.ttf	D:/Copy-web/satumomen.com/fonts/brittany_signature/BrittanySignature.ttf	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
11:19:57	89959/89959	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264739ad6-15f67%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.svg	D:/Copy-web/satumomen.com/fonts/brittany_signature/BrittanySignature.svg	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
11:19:58	37256/37256	---M--	200	added ('OK')	application/octet-stream	etag:%226494fa0e-9188%22	https://satumomen.com/fonts/photograph_signature/PhotographSignature.ttf	D:/Copy-web/satumomen.com/fonts/photograph_signature/PhotographSignature.ttf	(from https://satumomen.com/fonts/photograph_signature/fonts.css)
11:19:58	94180/94180	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264739ad6-16fe4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.eot	D:/Copy-web/satumomen.com/fonts/heatwood/fonts/Heatwood.eot	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
11:19:58	94180/94180	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264739ad6-16fe4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.eot?	D:/Copy-web/satumomen.com/fonts/heatwood/fonts/Heatwoodd41d.eot	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
11:19:58	41888/41888	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-a3a0%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.woff2	D:/Copy-web/satumomen.com/fonts/heatwood/fonts/Heatwood.woff2	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
11:19:58	51140/51140	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2264739ad6-c7c4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.woff	D:/Copy-web/satumomen.com/fonts/heatwood/fonts/Heatwood.woff	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
11:19:59	93924/93924	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-16ee4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.ttf	D:/Copy-web/satumomen.com/fonts/heatwood/fonts/Heatwood.ttf	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
11:19:59	235100/235100	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264739ad6-3965c%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.svg	D:/Copy-web/satumomen.com/fonts/heatwood/fonts/Heatwood.svg	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
11:19:59	41/41	---M--	302	error ('Found')	text/plain	date:Sun,%2029%20Jun%202025%2004:19:59%20GMT	https://unpkg.com/robots.txt		(from https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css)
